Country,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Capital,Co2-Emissions,CPI,Forested Area (%),GDP,Life expectancy,Minimum wage,Unemployment rate
Albania,58.10%,"6,52,230","3,23,000",32.49,Kabul,"8,672",149.9,2.10%,"$19,101,353,833 ",64.5,$0.43 ,11.12%
Algeria,43.10%,"28,748","9,000",11.78,Tirana,"4,536",119.05,28.10%,"$15,278,077,447 ",78.5,$1.12 ,12.33%
Andorra,17.40%,"23,81,741","3,17,000",24.28,Algiers,"1,50,006",151.36,0.80%,"$169,988,236,398 ",76.7,$0.95 ,11.70%
Antigua and Barbuda,47.50%,"12,46,700","1,17,000",40.73,Luanda,"34,693",261.73,46.30%,"$94,635,415,870 ",60.8,$0.71 ,6.89%
Armenia,54.30%,"27,80,400","1,05,000",17.02,Buenos Aires,"2,01,348",232.75,9.80%,"$449,663,446,954 ",76.5,$3.35 ,9.79%
Australia,58.90%,"29,743","49,000",13.99,Yerevan,"5,156",129.18,11.70%,"$13,672,802,158 ",74.9,$0.66 ,16.99%
Austria,48.20%,"77,41,220","58,000",12.6,Canberra,"3,75,908",119.8,16.30%,"$1,392,680,589,329 ",82.7,$13.59 ,5.27%
The Bahamas,57.70%,"86,600","82,000",14,Baku,"37,620",156.32,14.10%,"$39,207,000,000 ",72.9,$0.47 ,5.51%
Bahrain,1.40%,"13,880","1,000",13.97,"Nassau, Bahamas","1,786",116.22,51.40%,"$12,827,000,000 ",73.8,$5.25 ,10.36%
Barbados,70.60%,"1,48,460","2,21,000",18.18,Dhaka,"84,246",179.68,11.00%,"$302,571,254,131 ",72.3,$0.51 ,4.19%
Belarus,23.30%,430,"1,000",10.65,Bridgetown,"1,276",134.09,14.70%,"$5,209,000,000 ",79.1,$3.13 ,10.33%
Belize,44.60%,"30,528","32,000",10.3,City of Brussels,"96,889",117.11,22.60%,"$529,606,710,418 ",81.6,$10.31 ,5.59%
Benin,7.00%,"22,966","2,000",20.79,Belmopan,568,105.68,59.70%,"$1,879,613,600 ",74.5,$1.65 ,6.41%
Bhutan,33.30%,"1,12,622","12,000",36.22,Porto-Novo,"6,476",110.71,37.80%,"$14,390,709,095 ",61.5,$0.39 ,2.23%
Bolivia,13.60%,"38,394","6,000",17.26,Thimphu,"1,261",167.18,72.50%,"$2,446,674,101 ",71.5,$0.32 ,2.34%
Bosnia and Herzegovina,34.80%,"10,98,581","71,000",21.75,Sucre,"21,606",148.32,50.30%,"$40,895,322,865 ",71.2,$1.36 ,3.50%
Botswana,43.10%,"51,197","11,000",8.11,Sarajevo,"21,848",104.9,42.70%,"$20,047,848,435 ",77.3,$1.04 ,18.42%
Brazil,45.60%,"5,81,730","9,000",24.82,Gaborone,"6,340",149.75,18.90%,"$18,340,510,789 ",69.3,$0.29 ,18.19%
Brunei,33.90%,"85,15,770","7,30,000",13.92,BandarSeriBegawan,"4,62,299",167.4,58.90%,"$1,839,758,040,766 ",75.7,$1.53 ,12.08%
Burkina Faso,46.30%,"1,10,879","31,000",8.9,Sofia,"41,708",114.42,35.40%,"$86,000,000,000 ",74.9,$1.57 ,4.34%
Burundi,44.20%,"2,74,200","11,000",37.93,Ouagadougou,"3,418",106.58,19.30%,"$15,745,810,235 ",61.2,$0.34 ,6.26%
Cape Verde,64.80%,"3,22,463","27,000",35.74,Yamoussoukro,"9,674",111.61,32.70%,"$58,792,205,642 ",57.4,$0.36 ,3.32%
Cambodia,19.60%,"4,033","1,000",19.49,Praia,543,110.5,22.50%,"$1,981,845,741 ",72.8,$0.68 ,12.25%
Canada,20.60%,"4,75,440","24,000",35.39,Ottawa,"8,291",118.65,39.30%,"$38,760,467,033 ",58.9,$0.35 ,3.38%
Central African Republic,6.90%,"99,84,670","72,000",10.1,Ottawa,"5,44,894",116.76,38.20%,"$1,736,425,629,520 ",81.9,$9.51 ,5.56%
Chad,8.20%,"6,22,984","8,000",35.35,Bangui,297,186.86,35.60%,"$2,220,307,369 ",52.8,$0.37 ,3.68%
Chile,39.70%,"12,84,000","35,000",42.17,N'Djamena,"1,016",117.7,3.80%,"$11,314,951,343 ",54,$0.60 ,1.89%
China,21.20%,"7,56,096","1,22,000",12.43,Santiago,"85,822",131.91,24.30%,"$282,318,159,745 ",80,$2.00 ,7.09%
